brand,model,model_year,milage,fuel_type,engine_liters,engine_cylinders,transmission_group,ext_color_group,int_color_group,accident,clean_title
Genesis,G90 3.3T Premium,2021,9950.0,Gasoline,3.3,6.0,Automatic,Silver,Blue,None reported,Yes
Volkswagen,Golf R 20th Anniversary Edition,2023,633.0,Gasoline,2.0,4.0,Manual,White,Black,None reported,Yes
Hyundai,Sonata Hybrid Limited,2015,66000.0,Hybrid,2.4,4.0,Automatic,White,Gray,At least 1 accident or damage reported,Yes
Audi,RS 7 4.0T Prestige,2014,59715.0,Gasoline,4.0,8.0,Automatic,Gray,Black,At least 1 accident or damage reported,Yes
BMW,740 Li,2012,85252.0,Gasoline,3.0,6.0,Automatic,Black,Black,None reported,Yes
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900.0,Hybrid,3.0,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
BMW,M6 Base,2016,25500.0,Gasoline,4.4,8.0,Automatic,White,Black,None reported,Yes
Subaru,Forester 2.5 X,2004,210703.0,Gasoline,2.5,4.0,Manual,Green,Beige,Unknown,Unknown
Hyundai,Elantra N Base,2023,3800.0,Gasoline,2.0,4.0,Manual,White,Black,None reported,Yes
Kia,Niro Plug-In Hybrid EX Premium,2022,36602.0,Hybrid,1.6,4.0,Automatic,Blue,Black,None reported,Yes
Rivian,R1S Adventure Package,2023,2800.0,Unknown,3.5,6.0,Automatic,White,Green,None reported,Yes
Aston,Martin DBS Superleggera,2021,2165.0,Gasoline,5.2,12.0,Automatic,Black,Black,None reported,Yes
Mercedes-Benz,SLC 300 Base,2018,33000.0,Gasoline,2.0,4.0,Automatic,Red,Black,At least 1 accident or damage reported,Yes
BMW,435 Gran Coupe i,2016,76009.0,Gasoline,3.0,6.0,Automatic,White,Beige,None reported,Yes
Jeep,Grand Cherokee Summit,2020,31349.0,Gasoline,5.7,8.0,Automatic,Other,Black,None reported,Unknown
Lexus,RC 350 Base,2015,48000.0,Gasoline,3.5,6.0,Other,Orange,Red,None reported,Yes
BMW,525 i,2005,91420.0,Gasoline,2.5,6.0,Automatic,Black,Black,None reported,Yes
Toyota,Corolla LE,2003,124756.0,Gasoline,1.8,4.0,Manual,Beige,Beige,At least 1 accident or damage reported,Yes
Cadillac,CT5-V Blackwing,2023,2415.0,Gasoline,6.2,8.0,Automatic,Other,Gray,None reported,Unknown
GMC,Acadia SLT-1,2012,116226.0,Gasoline,3.6,6.0,Automatic,Black,Black,None reported,Yes
Lexus,LC 500 Base,2020,37869.0,Gasoline,5.0,8.0,Automatic,Silver,Red,None reported,Unknown
BMW,i8 Base,2019,41500.0,Plug-In Hybrid,1.5,3.0,Other,White,Black,None reported,Yes
Lexus,ES 300h Base,2013,87001.0,Hybrid,2.5,4.0,CVT,Beige,Beige,None reported,Yes
Cadillac,CT5-V V-Series,2022,4451.0,Gasoline,3.0,6.0,Automatic,White,Black,At least 1 accident or damage reported,Yes
BMW,540 i xDrive,2020,27158.0,Gasoline,2.0,6.0,Automatic,Blue,Black,None reported,Unknown
Chevrolet,Express 1500 Work Van,2014,139804.0,Gasoline,4.3,6.0,Automatic,White,Gray,At least 1 accident or damage reported,Yes
Jeep,Gladiator Rubicon,2022,27300.0,Gasoline,3.6,6.0,Automatic,Green,Black,None reported,Yes
BMW,Z4 sDrive28i,2014,36812.0,Gasoline,2.0,4.0,Other,White,Beige,None reported,Yes
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000.0,Gasoline,3.0,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
Cadillac,XT4 Sport,2019,44500.0,Gasoline,2.0,4.0,Automatic,Blue,White,None reported,Yes
BMW,750 750i xDrive,2021,10917.0,Gasoline,4.4,6.0,Automatic,Black,Black,None reported,Unknown
Bentley,Arnage R,2005,8332.0,Gasoline,6.75,8.0,Automatic,White,Beige,None reported,Yes
Lincoln,Aviator Reserve AWD,2020,51247.0,Gasoline,3.0,6.0,Automatic,Gray,Other,None reported,Unknown
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000.0,Gasoline,5.5,8.0,Other,Black,Brown,None reported,Yes
RAM,ProMaster 3500 High Roof,2021,147834.0,Gasoline,3.6,6.0,Automatic,White,Black,None reported,Yes
Ford,Utility Police Interceptor Base,2013,105000.0,E85 Flex Fuel,3.7,6.0,Automatic,White,Black,At least 1 accident or damage reported,Yes
Audi,A5 2.0T Premium,2011,92203.0,Gasoline,2.0,4.0,Other,Red,Beige,None reported,Yes
Nissan,GT-R Premium,2010,15600.0,Gasoline,3.8,6.0,Other,White,Black,None reported,Yes
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700.0,Gasoline,3.5,6.0,Automatic,White,Black,At least 1 accident or damage reported,Unknown
Toyota,Corolla LE,2010,72348.0,Gasoline,1.8,4.0,Automatic,Red,Gray,At least 1 accident or damage reported,Yes
Rivian,R1S Adventure Package,2023,2500.0,Unknown,3.5,6.0,Automatic,Green,White,None reported,Yes
Mercedes-Benz,C-Class C300 4MATIC,2022,13177.0,Gasoline,2.0,6.0,Automatic,White,Black,None reported,Unknown
Porsche,Cayenne E-Hybrid S,2016,96000.0,Plug-In Hybrid,3.0,6.0,Other,White,Red,At least 1 accident or damage reported,Yes
Chevrolet,Express 1500 Work Van,2011,93009.0,E85 Flex Fuel,5.3,8.0,Automatic,White,Other,None reported,Yes
INFINITI,Q70h Base,2016,52750.0,Hybrid,3.5,6.0,Automatic,White,Black,At least 1 accident or damage reported,Yes
Audi,A7 Premium Plus,2020,25361.0,Hybrid,3.0,6.0,Automatic,Gray,Black,None reported,Unknown
Audi,Q7 3.0T Premium Plus,2015,98527.0,Gasoline,3.0,6.0,Automatic,Black,Black,Unknown,Unknown
Lucid,Air Pure,2023,1300.0,Unknown,3.5,6.0,Automatic,Black,Gray,Unknown,Unknown
Chrysler,Pacifica Touring,2017,87305.0,–,3.5,6.0,Automatic,Silver,Black,None reported,Yes
Audi,TTS 2.0T Premium Plus,2012,72922.0,Gasoline,2.0,4.0,Automatic,White,Black,Unknown,Unknown
BMW,650 Gran Coupe i xDrive,2015,41000.0,Gasoline,4.4,8.0,Automatic,Black,Black,None reported,Yes
Subaru,Forester Premium,2021,42125.0,Gasoline,2.5,6.0,CVT,Black,Black,None reported,Yes
Mercedes-Benz,AMG C AMG C 63,2016,62000.0,Gasoline,4.0,8.0,Other,Black,Black,None reported,Yes
Land,Rover LR3 HSE,2006,153843.0,Gasoline,4.4,8.0,Automatic,Red,Beige,At least 1 accident or damage reported,Yes
BMW,X7 xDrive40i,2019,35248.0,Gasoline,3.0,6.0,Automatic,Gray,Black,None reported,Unknown
Ford,Transit Connect XLT,2015,194454.0,Gasoline,2.5,4.0,Automatic,White,Black,None reported,Yes
Lexus,LX 570 Three-Row,2021,21000.0,Gasoline,5.7,8.0,Other,White,Black,None reported,Yes
Porsche,911 Carrera S,2013,18494.0,Gasoline,3.8,6.0,Manual,Black,Black,Unknown,Unknown
Dodge,Ram 2500 Laramie Quad Cab,2006,218000.0,Gasoline,5.7,8.0,Automatic,Red,Gray,None reported,Yes
Nissan,Armada SL,2021,67800.0,Gasoline,5.6,8.0,Automatic,Silver,Black,At least 1 accident or damage reported,Yes
Porsche,Cayman Base,2014,79000.0,Gasoline,2.7,6.0,Other,Red,Black,At least 1 accident or damage reported,Yes
Mercedes-Benz,GLE 450 GLE 450,2022,24906.0,Hybrid,3.0,6.0,Automatic,Gray,Black,None reported,Unknown
Chevrolet,Monte Carlo SS,2006,66840.0,Gasoline,5.3,8.0,Automatic,White,Gray,At least 1 accident or damage reported,Yes
BMW,M5 Base,2013,86000.0,Gasoline,4.4,8.0,Other,Blue,White,None reported,Yes
Hyundai,Kona N Base,2023,654.0,Gasoline,2.0,4.0,Automatic,Black,Black,None reported,Yes
Chevrolet,Monte Carlo SS,2005,75000.0,Gasoline,3.8,6.0,Automatic,Black,Black,None reported,Yes
Land,Rover Range Rover Evoque Pure,2015,84000.0,Gasoline,2.0,4.0,Automatic,Beige,Black,At least 1 accident or damage reported,Yes
Audi,S7 4.0T Premium Plus,2017,52500.0,Gasoline,4.0,8.0,Other,Gray,Gray,None reported,Yes
GMC,Acadia SLT-1,2011,120000.0,Gasoline,3.6,6.0,Automatic,Silver,Gray,None reported,Yes
Alfa,Romeo Stelvio Ti Sport,2020,18665.0,Gasoline,2.0,4.0,Automatic,White,Other,None reported,Yes
Ferrari,FF Base,2016,19987.0,Gasoline,6.3,12.0,Automatic,Black,Brown,None reported,Yes
Kia,K900 5.0L,2017,36486.0,Gasoline,5.0,8.0,Automatic,Black,Beige,At least 1 accident or damage reported,Yes
Ford,E150 XLT,2013,162100.0,E85 Flex Fuel,5.4,8.0,Automatic,Black,Gray,None reported,Yes
Tesla,Model 3 Performance,2022,13079.0,Unknown,3.5,6.0,Automatic,Black,White,None reported,Yes
Toyota,4Runner SR5,2022,28377.0,Gasoline,4.0,6.0,Automatic,Silver,Gray,None reported,Unknown
Subaru,Forester Base,2020,32744.0,Gasoline,2.5,4.0,CVT,Black,Gray,None reported,Yes
Porsche,Panamera 2,2012,54000.0,Gasoline,3.6,6.0,Automatic,White,Other,At least 1 accident or damage reported,Yes
Toyota,Tacoma PreRunner,2008,202055.0,Gasoline,4.0,6.0,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes
RAM,2500 Laramie,2019,65000.0,Diesel,6.7,6.0,Automatic,Black,Black,None reported,Yes
Kia,Sportage Nightfall,2022,9686.0,Gasoline,2.4,4.0,Automatic,Red,Black,None reported,Yes
Cadillac,DTS Base,2010,49620.0,Gasoline,4.6,8.0,Automatic,White,Gray,None reported,Yes
Toyota,Land Cruiser Base,1997,213000.0,Gasoline,4.5,6.0,Automatic,White,Beige,None reported,Yes
Nissan,GT-R Premium,2020,16010.0,Gasoline,3.8,6.0,Automatic,White,Black,None reported,Yes
Lexus,NX 350 F SPORT Handling,2023,820.0,Gasoline,2.4,6.0,Other,Black,Black,None reported,Unknown
Audi,Q7 45 Premium Plus,2021,68000.0,Gasoline,2.0,4.0,Automatic,Blue,Black,None reported,Yes
Lexus,LX 470 Base,1999,82000.0,Gasoline,4.7,8.0,Automatic,White,Beige,None reported,Yes
GMC,Terrain SLE,2022,27352.0,Gasoline,1.5,4.0,Automatic,White,Black,None reported,Unknown
Ford,Escape Limited,2012,129000.0,Gasoline,2.5,4.0,Automatic,White,Gray,At least 1 accident or damage reported,Yes
Lexus,LS 460 L,2014,106731.0,Gasoline,4.6,8.0,Automatic,White,Beige,At least 1 accident or damage reported,Yes
Ford,Expedition Platinum,2019,34672.0,Gasoline,3.5,6.0,Automatic,White,White,None reported,Yes
Chevrolet,Malibu LTZ,2010,55900.0,Gasoline,3.6,6.0,Other,Beige,Beige,None reported,Yes
Audi,RS 7 4.0T quattro,2023,3158.0,Gasoline,4.0,8.0,Automatic,White,Black,None reported,Unknown
Audi,A5 2.0T Premium Plus,2015,82000.0,Gasoline,2.0,4.0,Automatic,White,Brown,None reported,Yes
Genesis,G70 2.0T,2023,4785.0,Gasoline,2.0,4.0,Automatic,Black,Black,None reported,Yes
Chevrolet,Trailblazer LS,2021,20497.0,Gasoline,1.3,3.0,Automatic,Blue,Black,None reported,Unknown
Scion,tC Base,2013,177600.0,Gasoline,2.5,4.0,Automatic,Silver,Black,At least 1 accident or damage reported,Yes
Lincoln,MKZ Hybrid Base,2014,78568.0,Hybrid,2.0,4.0,Automatic,Blue,Beige,None reported,Yes
Ford,Transit-350 XL,2018,95000.0,E85 Flex Fuel,3.7,6.0,Automatic,White,Gray,None reported,Yes
Porsche,911 GT2 RS,2018,4529.0,Gasoline,3.8,6.0,Automatic,Black,Black,None reported,Yes
Ford,Explorer Timberline,2021,25240.0,Gasoline,2.3,4.0,Automatic,Gray,Black,At least 1 accident or damage reported,Unknown
Volvo,XC90 3.2,2011,88300.0,Gasoline,3.2,6.0,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes
Chevrolet,Avalanche LTZ,2013,98000.0,E85 Flex Fuel,5.3,8.0,Automatic,Silver,Black,At least 1 accident or damage reported,Yes
Audi,TT RS 2.5T,2018,20675.0,Gasoline,2.5,5.0,Other,Gray,Gray,None reported,Yes
Lincoln,Navigator L,2008,95000.0,Gasoline,5.4,8.0,Automatic,Black,Black,None reported,Yes
Hyundai,Elantra GLS,2010,107000.0,Gasoline,2.0,4.0,Automatic,Blue,Blue,At least 1 accident or damage reported,Yes
Audi,SQ5 3.0T Premium Plus,2016,60000.0,Gasoline,3.0,6.0,Other,Black,Black,At least 1 accident or damage reported,Yes
Mitsubishi,Lancer Evolution GSR,2012,33000.0,Gasoline,2.0,4.0,Manual,Black,Black,None reported,Yes
Tesla,Model Y Performance,2023,500.0,Unknown,3.5,6.0,Automatic,Black,White,None reported,Yes
Mercedes-Benz,Maybach S S 600,2016,108500.0,Gasoline,6.0,12.0,Automatic,White,Beige,None reported,Yes
Nissan,GT-R Premium,2017,37800.0,Gasoline,3.8,6.0,Other,Orange,Orange,None reported,Yes
Mercedes-Benz,GLS 550 Base 4MATIC,2018,74422.0,Gasoline,4.7,6.0,Automatic,Black,Gray,None reported,Unknown
Chevrolet,Blazer Premier,2019,55621.0,Gasoline,3.6,6.0,Automatic,Silver,Black,None reported,Unknown
Mazda,CX-9 Grand Touring,2021,46707.0,Gasoline,2.5,4.0,Automatic,Silver,Black,At least 1 accident or damage reported,Yes
Ford,Expedition Max Limited,2022,26500.0,Gasoline,3.5,6.0,Automatic,White,Beige,None reported,Yes
Nissan,Titan XD SV,2020,10001.0,Gasoline,5.6,8.0,Automatic,Black,Black,None reported,Yes
Lexus,LX 570 Three-Row,2019,19050.0,Gasoline,5.7,8.0,Automatic,Black,Beige,None reported,Yes
Chevrolet,Traverse Premier,2020,52000.0,Gasoline,3.6,6.0,Automatic,White,Black,None reported,Yes
Mercedes-Benz,Sprinter High Roof,2014,65000.0,Diesel,3.0,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
BMW,X5 3.0i,2004,140000.0,Gasoline,3.0,6.0,Other,Black,Beige,None reported,Yes
Ford,Fusion SE,2018,75600.0,Gasoline,1.5,4.0,Automatic,Blue,Black,At least 1 accident or damage reported,Yes
Lincoln,MKZ Base,2015,117292.0,Gasoline,2.0,4.0,Automatic,Beige,Beige,None reported,Yes
Ford,GT,2005,1897.0,Gasoline,5.4,6.0,Manual,White,Other,None reported,Unknown
Genesis,G90 5.0 Ultimate,2017,26000.0,Gasoline,5.0,8.0,Other,White,Beige,None reported,Yes
Lexus,LC 500 Base,2022,2071.0,Gasoline,5.0,8.0,Automatic,Other,Other,None reported,Unknown
Ford,Shelby GT500 Base,2014,15629.0,Gasoline,5.8,8.0,Manual,Black,Black,None reported,Unknown
Saturn,Sky Base,2008,15020.0,Gasoline,2.4,4.0,Automatic,Silver,Red,None reported,Yes
Audi,RS Q8 4.0T quattro,2022,11322.0,Gasoline,4.0,8.0,Automatic,White,Black,None reported,Unknown
Toyota,Land Cruiser,2016,50361.0,Gasoline,5.7,6.0,Automatic,Silver,Black,None reported,Unknown
Mercedes-Benz,SL-Class SL 550,2013,115000.0,Gasoline,4.6,8.0,Other,Black,Black,At least 1 accident or damage reported,Yes
Porsche,911 Carrera C2S,2005,28500.0,Gasoline,3.8,6.0,Manual,Silver,Black,None reported,Yes
Mercedes-Benz,AMG GLA 45 Base 4MATIC,2018,51700.0,Gasoline,2.0,4.0,Other,White,Black,None reported,Yes
Ford,Taurus X Limited,2008,148949.0,Gasoline,3.5,6.0,Automatic,Blue,Beige,None reported,Yes
BMW,440 Gran Coupe i,2018,39300.0,Gasoline,3.0,6.0,Automatic,White,Beige,At least 1 accident or damage reported,Yes
Honda,S2000 CR,2008,82323.0,Gasoline,2.2,4.0,Manual,Black,Black,None reported,Yes
Acura,Integra w/A-Spec Tech Package,2023,3574.0,Gasoline,1.5,6.0,Other,Blue,Other,None reported,Unknown
Ford,Excursion Limited,2001,109357.0,Gasoline,6.8,10.0,Automatic,Green,Beige,None reported,Yes
Mercedes-Benz,SL-Class SL500 Roadster,2004,46000.0,Gasoline,5.0,8.0,Automatic,White,Gray,None reported,Yes
Mercedes-Benz,CLS-Class CLS 550,2007,123112.0,Gasoline,5.5,8.0,Automatic,Silver,Black,At least 1 accident or damage reported,Yes
INFINITI,G35 Sport,2007,37100.0,Gasoline,3.5,6.0,Manual,Gray,Black,None reported,Yes
Volkswagen,Golf GTI 2.0T S 4-Door,2016,89000.0,Gasoline,2.0,4.0,Manual,Silver,Black,None reported,Yes
Dodge,Challenger R/T Scat Pack,2022,1240.0,Gasoline,6.4,8.0,Automatic,Other,Black,None reported,Unknown
Lincoln,Navigator L Reserve,2019,67073.0,Gasoline,3.5,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
Maserati,Ghibli S Q4,2015,28700.0,Gasoline,3.0,6.0,Automatic,White,Red,Unknown,Unknown
Tesla,Model X Base,2023,8200.0,Unknown,3.5,6.0,Automatic,Black,Black,None reported,Yes
Mercedes-Benz,AMG G 63 Base,2018,41000.0,Gasoline,5.5,8.0,Other,Gray,Black,None reported,Yes
Ford,Expedition Limited,2018,98995.0,Gasoline,3.5,6.0,Automatic,Silver,Black,None reported,Unknown
Volkswagen,Routan SE,2012,123815.0,Gasoline,3.6,6.0,Automatic,Black,Gray,None reported,Yes
Bugatti,Veyron 16.4 Grand Sport,2011,6330.0,Gasoline,8.0,6.0,Automatic,White,White,None reported,Yes
Toyota,Highlander XLE,2020,61341.0,Gasoline,3.5,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Unknown
Honda,Civic LX,2016,96473.0,Gasoline,2.0,4.0,CVT,Black,Black,None reported,Unknown
Jeep,Wrangler Unlimited Sahara,2017,66107.0,Gasoline,3.6,6.0,Automatic,Black,Black,None reported,Unknown
Land,Rover Range Rover Supercharged,2008,114287.0,Gasoline,4.2,8.0,Automatic,Black,Black,None reported,Yes
Acura,ILX 2.0L w/Premium Package,2015,75000.0,Gasoline,2.0,4.0,Automatic,Beige,Beige,None reported,Yes
