price,model_year,milage,brand,model,fuel_type,accident,clean_title,transmission_group,engine_liters,engine_cylinders,ext_color_group,int_color_group
11000.0,2003,74000.0,Nissan,350Z Enthusiast,Gasoline,None reported,Yes,Manual,3.5,6.0,Purple,Other
68750.0,2018,35250.0,Jaguar,F-TYPE R,Gasoline,None reported,Yes,Automatic,5.0,8.0,Green,Black
60000.0,2023,5400.0,Genesis,GV70 3.5T Sport,Gasoline,Unknown,Unknown,Automatic,3.5,6.0,Green,Beige
4500.0,2000,133510.0,Chevrolet,S-10 LS,E85 Flex Fuel,None reported,Yes,Automatic,2.2,4.0,Blue,Black
38598.0,2020,25990.0,BMW,440 Gran Coupe 440i xDrive,Gasoline,None reported,Unknown,Automatic,3.0,6.0,White,Beige
58504.0,2023,2823.0,Ford,F-150 XLT,Gasoline,None reported,Yes,Automatic,3.5,6.0,Silver,Black
61000.0,2021,52000.0,Chevrolet,Suburban RST,Gasoline,None reported,Yes,Automatic,5.3,8.0,Blue,Black
32300.0,2022,11650.0,Hyundai,Elantra N Base,Gasoline,None reported,Yes,Other,2.0,4.0,Black,Black
13998.0,2016,96541.0,Nissan,Sentra SR,Gasoline,None reported,Unknown,Automatic,1.8,6.0,Blue,Black
59995.0,2021,17500.0,Mercedes-Benz,AMG CLA 45 Base 4MATIC,Gasoline,None reported,Yes,Automatic,2.0,4.0,Gray,Black
25700.0,2015,69000.0,BMW,650 Gran Coupe i xDrive,Gasoline,None reported,Yes,Automatic,4.4,8.0,Gray,Black
21375.0,2017,81880.0,Audi,Q5 2.0T Premium Plus,E85 Flex Fuel,None reported,Yes,Automatic,2.0,4.0,Black,Black
48000.0,2018,28800.0,Mercedes-Benz,AMG C 43 Base 4MATIC,Gasoline,None reported,Yes,Automatic,3.0,6.0,Silver,Black
10900.0,2006,300183.0,Dodge,Ram 1500 Laramie Mega Cab,Gasoline,At least 1 accident or damage reported,Yes,Automatic,5.7,8.0,Silver,Gray
24998.0,2020,35035.0,BMW,i3 120Ah w/Range Extender,Hybrid,None reported,Unknown,Automatic,3.5,6.0,Black,Black
5999.0,2011,171000.0,Kia,Sorento SX,Gasoline,None reported,Yes,Automatic,3.5,6.0,Black,Black
46900.0,2016,118700.0,Lexus,LX 570 Base,Gasoline,None reported,Yes,Automatic,5.7,8.0,Black,Beige
15900.0,2017,119000.0,Jeep,New Compass Trailhawk,Gasoline,None reported,Yes,Automatic,2.4,4.0,Red,Black
33598.0,2018,44261.0,BMW,340 i,Gasoline,None reported,Unknown,Automatic,3.0,6.0,Gray,Black
8999.0,2012,125575.0,Audi,A4 2.0T Premium Plus quattro,Gasoline,None reported,Yes,Automatic,2.0,4.0,Silver,Black
8200.0,2007,16200.0,Hyundai,Tucson SE,Gasoline,None reported,Yes,Automatic,2.7,6.0,Beige,Beige
20000.0,2014,70000.0,BMW,Z4 sDrive28i,Gasoline,At least 1 accident or damage reported,Yes,Automatic,2.0,4.0,White,Beige
79950.0,2011,20200.0,Bentley,Continental GTC Base,E85 Flex Fuel,None reported,Yes,Automatic,6.0,12.0,Black,Black
45498.0,2023,2978.0,Honda,Passport Elite,Gasoline,None reported,Unknown,Automatic,3.5,6.0,Silver,Gray
14000.0,2007,189719.0,Dodge,Sprinter 2500,Diesel,At least 1 accident or damage reported,Yes,Automatic,3.0,6.0,White,Gray
75798.0,2019,9949.0,BMW,M850 i xDrive,Gasoline,None reported,Unknown,Automatic,4.4,6.0,Blue,Black
119999.0,2022,3552.0,Lucid,Air Grand Touring,Unknown,None reported,Yes,Automatic,3.5,6.0,Red,Beige
36880.0,2012,54000.0,Audi,A7 Premium,Gasoline,At least 1 accident or damage reported,Yes,Automatic,3.0,6.0,Black,Brown
43147.0,2021,51351.0,Chevrolet,Silverado 1500 Custom Trail Boss,Gasoline,None reported,Yes,Automatic,5.3,8.0,Black,Black
29000.0,2017,24280.0,MINI,Convertible John Cooper Works,Gasoline,At least 1 accident or damage reported,Yes,Automatic,2.0,4.0,Black,Black
17500.0,2016,89148.0,Toyota,Avalon Touring,Gasoline,None reported,Yes,Automatic,3.5,6.0,Black,Black
30990.0,2017,73043.0,Porsche,Cayenne Platinum Edition,Gasoline,None reported,Yes,Automatic,3.6,6.0,White,Black
52500.0,2017,60000.0,Mercedes-Benz,AMG C 63 S,Gasoline,At least 1 accident or damage reported,Yes,Other,4.0,8.0,Gray,Black
20848.0,2016,73549.0,Honda,CR-V EX-L,Gasoline,At least 1 accident or damage reported,Unknown,CVT,2.4,4.0,Other,Black
19500.0,2005,110900.0,Hummer,H2 Base,Gasoline,None reported,Yes,Automatic,6.0,8.0,Gray,Black
73000.0,2013,39000.0,Porsche,911 Carrera S,Gasoline,None reported,Yes,Automatic,3.8,6.0,Blue,Black
19800.0,2016,120000.0,Mercedes-Benz,CLA-Class CLA 250,Gasoline,None reported,Yes,Other,2.0,4.0,Black,Black
7500.0,2009,134602.0,Chrysler,300 Touring,Gasoline,None reported,Yes,Other,3.5,6.0,Blue,Black
30999.0,2023,1094.0,Nissan,Rogue SV,Gasoline,None reported,Unknown,CVT,1.5,3.0,Blue,Gray
6500.0,2010,83500.0,Audi,A3 2.0T,Gasoline,None reported,Yes,Other,2.0,4.0,Silver,Black
28500.0,2014,37060.0,Ford,Mustang GT Premium,Gasoline,None reported,Yes,Manual,5.0,8.0,Black,Black
10995.0,2010,97700.0,Acura,RL Technology,Gasoline,None reported,Yes,Other,3.7,6.0,Blue,Beige
42000.0,2018,40000.0,Volvo,XC90 Hybrid T8 R-Design,Plug-In Hybrid,None reported,Yes,Other,2.0,4.0,Black,Black
144900.0,2018,8940.0,Audi,R8 5.2 V10,Gasoline,None reported,Unknown,Automatic,5.2,10.0,Red,Black
10000.0,2014,186000.0,Mercedes-Benz,GLK-Class GLK 350,Gasoline,At least 1 accident or damage reported,Yes,Automatic,3.5,6.0,Black,Beige
23998.0,2021,13180.0,Toyota,C-HR LE,Gasoline,None reported,Unknown,CVT,2.0,6.0,Other,Other
21000.0,2014,104000.0,Lexus,IS 350 Base,Gasoline,None reported,Yes,Automatic,3.5,6.0,Black,Black
67900.0,2023,8500.0,BMW,X4 M40i,Hybrid,None reported,Yes,Other,3.0,6.0,Gray,Beige
69998.0,2019,19069.0,BMW,M4 CS,Gasoline,None reported,Unknown,Automatic,3.0,6.0,White,Other
46900.0,2023,6090.0,Cadillac,CT5 Premium Luxury,Gasoline,None reported,Yes,Automatic,2.0,4.0,White,Beige
99000.0,2022,4900.0,Lucid,Air Grand Touring,Unknown,None reported,Yes,Automatic,3.5,6.0,Red,Black
31000.0,2019,47523.0,Audi,A5 2.0T Premium Plus,Gasoline,None reported,Yes,Other,2.0,4.0,Black,Black
19995.0,2006,43000.0,Chrysler,300C SRT8,Gasoline,At least 1 accident or damage reported,Yes,Automatic,6.1,8.0,Silver,Black
130000.0,2017,14684.0,Bentley,Continental GT W12,Gasoline,None reported,Yes,Automatic,6.0,12.0,White,White
55999.0,2019,57800.0,BMW,M4 Base,Gasoline,None reported,Yes,Other,3.0,6.0,Black,Red
49950.0,2023,952.0,Toyota,GR Corolla Circuit Edition,Gasoline,None reported,Yes,Manual,1.6,3.0,Silver,Gray
59950.0,2019,21240.0,Audi,RS 5 2.9T,Gasoline,At least 1 accident or damage reported,Yes,Automatic,2.9,6.0,Black,Black
42499.0,2019,59338.0,Porsche,Cayenne Base,Gasoline,None reported,Yes,Other,3.0,6.0,Black,Black
359991.0,2023,255.0,Lamborghini,Huracan Tecnica Coupe,Gasoline,None reported,Unknown,Automatic,5.2,6.0,Other,Other
44999.0,2019,23230.0,Maserati,Quattroporte S,Gasoline,None reported,Yes,Automatic,3.0,6.0,Black,Black
30000.0,2017,48000.0,Jaguar,XF 35t R-Sport,Gasoline,At least 1 accident or damage reported,Yes,Automatic,3.0,6.0,Red,Black
11100.0,2005,41059.0,Lexus,ES 330 Base,Gasoline,None reported,Yes,Automatic,3.3,6.0,White,Beige
37998.0,2020,21240.0,Land,Rover Discovery Sport SE R-Dynamic,Gasoline,None reported,Unknown,Automatic,2.0,6.0,White,Black
72000.0,2015,11500.0,Porsche,Cayman GTS,Gasoline,None reported,Yes,Automatic,3.4,6.0,Silver,Other
53950.0,2021,9950.0,Genesis,G90 3.3T Premium,Gasoline,None reported,Yes,Automatic,3.3,6.0,Silver,Blue
47999.0,2023,633.0,Volkswagen,Golf R 20th Anniversary Edition,Gasoline,None reported,Yes,Manual,2.0,4.0,White,Black
15900.0,2015,66000.0,Hyundai,Sonata Hybrid Limited,Hybrid,At least 1 accident or damage reported,Yes,Automatic,2.4,4.0,White,Gray
45000.0,2014,59715.0,Audi,RS 7 4.0T Prestige,Gasoline,At least 1 accident or damage reported,Yes,Automatic,4.0,8.0,Gray,Black
18500.0,2012,85252.0,BMW,740 Li,Gasoline,None reported,Yes,Automatic,3.0,6.0,Black,Black
80000.0,2020,17900.0,Mercedes-Benz,GLS 450 Base 4MATIC,Hybrid,At least 1 accident or damage reported,Yes,Automatic,3.0,6.0,Black,Black
55000.0,2016,25500.0,BMW,M6 Base,Gasoline,None reported,Yes,Automatic,4.4,8.0,White,Black
2300.0,2004,210703.0,Subaru,Forester 2.5 X,Gasoline,Unknown,Unknown,Manual,2.5,4.0,Green,Beige
34000.0,2023,3800.0,Hyundai,Elantra N Base,Gasoline,None reported,Yes,Manual,2.0,4.0,White,Black
31995.0,2022,36602.0,Kia,Niro Plug-In Hybrid EX Premium,Hybrid,None reported,Yes,Automatic,1.6,4.0,Blue,Black
92000.0,2023,2800.0,Rivian,R1S Adventure Package,Unknown,None reported,Yes,Automatic,3.5,6.0,White,Green
279950.0,2021,2165.0,Aston,Martin DBS Superleggera,Gasoline,None reported,Yes,Automatic,5.2,12.0,Black,Black
29900.0,2018,33000.0,Mercedes-Benz,SLC 300 Base,Gasoline,At least 1 accident or damage reported,Yes,Automatic,2.0,4.0,Red,Black
24950.0,2016,76009.0,BMW,435 Gran Coupe i,Gasoline,None reported,Yes,Automatic,3.0,6.0,White,Beige
39366.0,2020,31349.0,Jeep,Grand Cherokee Summit,Gasoline,None reported,Unknown,Automatic,5.7,8.0,Other,Black
32900.0,2015,48000.0,Lexus,RC 350 Base,Gasoline,None reported,Yes,Other,3.5,6.0,Orange,Red
8900.0,2005,91420.0,BMW,525 i,Gasoline,None reported,Yes,Automatic,2.5,6.0,Black,Black
4995.0,2003,124756.0,Toyota,Corolla LE,Gasoline,At least 1 accident or damage reported,Yes,Manual,1.8,4.0,Beige,Beige
104900.0,2023,2415.0,Cadillac,CT5-V Blackwing,Gasoline,None reported,Unknown,Automatic,6.2,8.0,Other,Gray
7900.0,2012,116226.0,GMC,Acadia SLT-1,Gasoline,None reported,Yes,Automatic,3.6,6.0,Black,Black
75950.0,2020,37869.0,Lexus,LC 500 Base,Gasoline,None reported,Unknown,Automatic,5.0,8.0,Silver,Red
86000.0,2019,41500.0,BMW,i8 Base,Plug-In Hybrid,None reported,Yes,Other,1.5,3.0,White,Black
17995.0,2013,87001.0,Lexus,ES 300h Base,Hybrid,None reported,Yes,CVT,2.5,4.0,Beige,Beige
55655.0,2022,4451.0,Cadillac,CT5-V V-Series,Gasoline,At least 1 accident or damage reported,Yes,Automatic,3.0,6.0,White,Black
39998.0,2020,27158.0,BMW,540 i xDrive,Gasoline,None reported,Unknown,Automatic,2.0,6.0,Blue,Black
14500.0,2014,139804.0,Chevrolet,Express 1500 Work Van,Gasoline,At least 1 accident or damage reported,Yes,Automatic,4.3,6.0,White,Gray
47500.0,2022,27300.0,Jeep,Gladiator Rubicon,Gasoline,None reported,Yes,Automatic,3.6,6.0,Green,Black
27000.0,2014,36812.0,BMW,Z4 sDrive28i,Gasoline,None reported,Yes,Other,2.0,4.0,White,Beige
18000.0,2016,144000.0,Land,Rover LR4 HSE LUX Landmark Edition,Gasoline,At least 1 accident or damage reported,Yes,Automatic,3.0,6.0,Black,Black
28900.0,2019,44500.0,Cadillac,XT4 Sport,Gasoline,None reported,Yes,Automatic,2.0,4.0,Blue,White
73998.0,2021,10917.0,BMW,750 750i xDrive,Gasoline,None reported,Unknown,Automatic,4.4,6.0,Black,Black
47350.0,2005,8332.0,Bentley,Arnage R,Gasoline,None reported,Yes,Automatic,6.75,8.0,White,Beige
47698.0,2020,51247.0,Lincoln,Aviator Reserve AWD,Gasoline,None reported,Unknown,Automatic,3.0,6.0,Gray,Other
36500.0,2016,69000.0,Mercedes-Benz,AMG GL AMG GL 63 4MATIC,Gasoline,None reported,Yes,Other,5.5,8.0,Black,Brown
32662.0,2021,147834.0,RAM,ProMaster 3500 High Roof,Gasoline,None reported,Yes,Automatic,3.6,6.0,White,Black
6600.0,2013,105000.0,Ford,Utility Police Interceptor Base,E85 Flex Fuel,At least 1 accident or damage reported,Yes,Automatic,3.7,6.0,White,Black
9995.0,2011,92203.0,Audi,A5 2.0T Premium,Gasoline,None reported,Yes,Other,2.0,4.0,Red,Beige
69500.0,2010,15600.0,Nissan,GT-R Premium,Gasoline,None reported,Yes,Other,3.8,6.0,White,Black
30775.0,2018,104700.0,Land,Rover Range Rover Sport 3.0L Supercharged HSE,Gasoline,At least 1 accident or damage reported,Unknown,Automatic,3.5,6.0,White,Black
9995.0,2010,72348.0,Toyota,Corolla LE,Gasoline,At least 1 accident or damage reported,Yes,Automatic,1.8,4.0,Red,Gray
94000.0,2023,2500.0,Rivian,R1S Adventure Package,Unknown,None reported,Yes,Automatic,3.5,6.0,Green,White
44798.0,2022,13177.0,Mercedes-Benz,C-Class C300 4MATIC,Gasoline,None reported,Unknown,Automatic,2.0,6.0,White,Black
23000.0,2016,96000.0,Porsche,Cayenne E-Hybrid S,Plug-In Hybrid,At least 1 accident or damage reported,Yes,Other,3.0,6.0,White,Red
22495.0,2011,93009.0,Chevrolet,Express 1500 Work Van,E85 Flex Fuel,None reported,Yes,Automatic,5.3,8.0,White,Other
28998.0,2016,52750.0,INFINITI,Q70h Base,Hybrid,At least 1 accident or damage reported,Yes,Automatic,3.5,6.0,White,Black
49998.0,2020,25361.0,Audi,A7 Premium Plus,Hybrid,None reported,Unknown,Automatic,3.0,6.0,Gray,Black
9995.0,2015,98527.0,Audi,Q7 3.0T Premium Plus,Gasoline,Unknown,Unknown,Automatic,3.0,6.0,Black,Black
86900.0,2023,1300.0,Lucid,Air Pure,Unknown,Unknown,Unknown,Automatic,3.5,6.0,Black,Gray
9000.0,2017,87305.0,Chrysler,Pacifica Touring,–,None reported,Yes,Automatic,3.5,6.0,Silver,Black
25999.0,2012,72922.0,Audi,TTS 2.0T Premium Plus,Gasoline,Unknown,Unknown,Automatic,2.0,4.0,White,Black
30000.0,2015,41000.0,BMW,650 Gran Coupe i xDrive,Gasoline,None reported,Yes,Automatic,4.4,8.0,Black,Black
27899.0,2021,42125.0,Subaru,Forester Premium,Gasoline,None reported,Yes,CVT,2.5,6.0,Black,Black
40000.0,2016,62000.0,Mercedes-Benz,AMG C AMG C 63,Gasoline,None reported,Yes,Other,4.0,8.0,Black,Black
9950.0,2006,153843.0,Land,Rover LR3 HSE,Gasoline,At least 1 accident or damage reported,Yes,Automatic,4.4,8.0,Red,Beige
53998.0,2019,35248.0,BMW,X7 xDrive40i,Gasoline,None reported,Unknown,Automatic,3.0,6.0,Gray,Black
9888.0,2015,194454.0,Ford,Transit Connect XLT,Gasoline,None reported,Yes,Automatic,2.5,4.0,White,Black
89999.0,2021,21000.0,Lexus,LX 570 Three-Row,Gasoline,None reported,Yes,Other,5.7,8.0,White,Black
86900.0,2013,18494.0,Porsche,911 Carrera S,Gasoline,Unknown,Unknown,Manual,3.8,6.0,Black,Black
12990.0,2006,218000.0,Dodge,Ram 2500 Laramie Quad Cab,Gasoline,None reported,Yes,Automatic,5.7,8.0,Red,Gray
36500.0,2021,67800.0,Nissan,Armada SL,Gasoline,At least 1 accident or damage reported,Yes,Automatic,5.6,8.0,Silver,Black
42999.0,2014,79000.0,Porsche,Cayman Base,Gasoline,At least 1 accident or damage reported,Yes,Other,2.7,6.0,Red,Black
63998.0,2022,24906.0,Mercedes-Benz,GLE 450 GLE 450,Hybrid,None reported,Unknown,Automatic,3.0,6.0,Gray,Black
12000.0,2006,66840.0,Chevrolet,Monte Carlo SS,Gasoline,At least 1 accident or damage reported,Yes,Automatic,5.3,8.0,White,Gray
32000.0,2013,86000.0,BMW,M5 Base,Gasoline,None reported,Yes,Other,4.4,8.0,Blue,White
34599.0,2023,654.0,Hyundai,Kona N Base,Gasoline,None reported,Yes,Automatic,2.0,4.0,Black,Black
12500.0,2005,75000.0,Chevrolet,Monte Carlo SS,Gasoline,None reported,Yes,Automatic,3.8,6.0,Black,Black
22800.0,2015,84000.0,Land,Rover Range Rover Evoque Pure,Gasoline,At least 1 accident or damage reported,Yes,Automatic,2.0,4.0,Beige,Black
39999.0,2017,52500.0,Audi,S7 4.0T Premium Plus,Gasoline,None reported,Yes,Other,4.0,8.0,Gray,Gray
7500.0,2011,120000.0,GMC,Acadia SLT-1,Gasoline,None reported,Yes,Automatic,3.6,6.0,Silver,Gray
35645.0,2020,18665.0,Alfa,Romeo Stelvio Ti Sport,Gasoline,None reported,Yes,Automatic,2.0,4.0,White,Other
149900.0,2016,19987.0,Ferrari,FF Base,Gasoline,None reported,Yes,Automatic,6.3,12.0,Black,Brown
23950.0,2017,36486.0,Kia,K900 5.0L,Gasoline,At least 1 accident or damage reported,Yes,Automatic,5.0,8.0,Black,Beige
12500.0,2013,162100.0,Ford,E150 XLT,E85 Flex Fuel,None reported,Yes,Automatic,5.4,8.0,Black,Gray
47000.0,2022,13079.0,Tesla,Model 3 Performance,Unknown,None reported,Yes,Automatic,3.5,6.0,Black,White
36999.0,2022,28377.0,Toyota,4Runner SR5,Gasoline,None reported,Unknown,Automatic,4.0,6.0,Silver,Gray
24000.0,2020,32744.0,Subaru,Forester Base,Gasoline,None reported,Yes,CVT,2.5,4.0,Black,Gray
26000.0,2012,54000.0,Porsche,Panamera 2,Gasoline,At least 1 accident or damage reported,Yes,Automatic,3.6,6.0,White,Other
8500.0,2008,202055.0,Toyota,Tacoma PreRunner,Gasoline,At least 1 accident or damage reported,Yes,Automatic,4.0,6.0,Silver,Gray
65000.0,2019,65000.0,RAM,2500 Laramie,Diesel,None reported,Yes,Automatic,6.7,6.0,Black,Black
30990.0,2022,9686.0,Kia,Sportage Nightfall,Gasoline,None reported,Yes,Automatic,2.4,4.0,Red,Black
10499.0,2010,49620.0,Cadillac,DTS Base,Gasoline,None reported,Yes,Automatic,4.6,8.0,White,Gray
26500.0,1997,213000.0,Toyota,Land Cruiser Base,Gasoline,None reported,Yes,Automatic,4.5,6.0,White,Beige
114000.0,2020,16010.0,Nissan,GT-R Premium,Gasoline,None reported,Yes,Automatic,3.8,6.0,White,Black
51998.0,2023,820.0,Lexus,NX 350 F SPORT Handling,Gasoline,None reported,Unknown,Other,2.4,6.0,Black,Black
36499.0,2021,68000.0,Audi,Q7 45 Premium Plus,Gasoline,None reported,Yes,Automatic,2.0,4.0,Blue,Black
25000.0,1999,82000.0,Lexus,LX 470 Base,Gasoline,None reported,Yes,Automatic,4.7,8.0,White,Beige
27785.0,2022,27352.0,GMC,Terrain SLE,Gasoline,None reported,Unknown,Automatic,1.5,4.0,White,Black
7000.0,2012,129000.0,Ford,Escape Limited,Gasoline,At least 1 accident or damage reported,Yes,Automatic,2.5,4.0,White,Gray
30000.0,2014,106731.0,Lexus,LS 460 L,Gasoline,At least 1 accident or damage reported,Yes,Automatic,4.6,8.0,White,Beige
45500.0,2019,34672.0,Ford,Expedition Platinum,Gasoline,None reported,Yes,Automatic,3.5,6.0,White,White
8950.0,2010,55900.0,Chevrolet,Malibu LTZ,Gasoline,None reported,Yes,Other,3.6,6.0,Beige,Beige
128900.0,2023,3158.0,Audi,RS 7 4.0T quattro,Gasoline,None reported,Unknown,Automatic,4.0,8.0,White,Black
17000.0,2015,82000.0,Audi,A5 2.0T Premium Plus,Gasoline,None reported,Yes,Automatic,2.0,4.0,White,Brown
42850.0,2023,4785.0,Genesis,G70 2.0T,Gasoline,None reported,Yes,Automatic,2.0,4.0,Black,Black
22999.0,2021,20497.0,Chevrolet,Trailblazer LS,Gasoline,None reported,Unknown,Automatic,1.3,3.0,Blue,Black
7100.0,2013,177600.0,Scion,tC Base,Gasoline,At least 1 accident or damage reported,Yes,Automatic,2.5,4.0,Silver,Black
15500.0,2014,78568.0,Lincoln,MKZ Hybrid Base,Hybrid,None reported,Yes,Automatic,2.0,4.0,Blue,Beige
43000.0,2018,95000.0,Ford,Transit-350 XL,E85 Flex Fuel,None reported,Yes,Automatic,3.7,6.0,White,Gray
417500.0,2018,4529.0,Porsche,911 GT2 RS,Gasoline,None reported,Yes,Automatic,3.8,6.0,Black,Black
39951.0,2021,25240.0,Ford,Explorer Timberline,Gasoline,At least 1 accident or damage reported,Unknown,Automatic,2.3,4.0,Gray,Black
11500.0,2011,88300.0,Volvo,XC90 3.2,Gasoline,At least 1 accident or damage reported,Yes,Automatic,3.2,6.0,Blue,Beige
27499.0,2013,98000.0,Chevrolet,Avalanche LTZ,E85 Flex Fuel,At least 1 accident or damage reported,Yes,Automatic,5.3,8.0,Silver,Black
76000.0,2018,20675.0,Audi,TT RS 2.5T,Gasoline,None reported,Yes,Other,2.5,5.0,Gray,Gray
10900.0,2008,95000.0,Lincoln,Navigator L,Gasoline,None reported,Yes,Automatic,5.4,8.0,Black,Black
6250.0,2010,107000.0,Hyundai,Elantra GLS,Gasoline,At least 1 accident or damage reported,Yes,Automatic,2.0,4.0,Blue,Blue
24700.0,2016,60000.0,Audi,SQ5 3.0T Premium Plus,Gasoline,At least 1 accident or damage reported,Yes,Other,3.0,6.0,Black,Black
34999.0,2012,33000.0,Mitsubishi,Lancer Evolution GSR,Gasoline,None reported,Yes,Manual,2.0,4.0,Black,Black
60000.0,2023,500.0,Tesla,Model Y Performance,Unknown,None reported,Yes,Automatic,3.5,6.0,Black,White
63500.0,2016,108500.0,Mercedes-Benz,Maybach S S 600,Gasoline,None reported,Yes,Automatic,6.0,12.0,White,Beige
149500.0,2017,37800.0,Nissan,GT-R Premium,Gasoline,None reported,Yes,Other,3.8,6.0,Orange,Orange
44798.0,2018,74422.0,Mercedes-Benz,GLS 550 Base 4MATIC,Gasoline,None reported,Unknown,Automatic,4.7,6.0,Black,Gray
34562.0,2019,55621.0,Chevrolet,Blazer Premier,Gasoline,None reported,Unknown,Automatic,3.6,6.0,Silver,Black
32541.0,2021,46707.0,Mazda,CX-9 Grand Touring,Gasoline,At least 1 accident or damage reported,Yes,Automatic,2.5,4.0,Silver,Black
65900.0,2022,26500.0,Ford,Expedition Max Limited,Gasoline,None reported,Yes,Automatic,3.5,6.0,White,Beige
47214.0,2020,10001.0,Nissan,Titan XD SV,Gasoline,None reported,Yes,Automatic,5.6,8.0,Black,Black
76900.0,2019,19050.0,Lexus,LX 570 Three-Row,Gasoline,None reported,Yes,Automatic,5.7,8.0,Black,Beige
35800.0,2020,52000.0,Chevrolet,Traverse Premier,Gasoline,None reported,Yes,Automatic,3.6,6.0,White,Black
54999.0,2014,65000.0,Mercedes-Benz,Sprinter High Roof,Diesel,At least 1 accident or damage reported,Yes,Automatic,3.0,6.0,Black,Black
6730.0,2004,140000.0,BMW,X5 3.0i,Gasoline,None reported,Yes,Other,3.0,6.0,Black,Beige
14950.0,2018,75600.0,Ford,Fusion SE,Gasoline,At least 1 accident or damage reported,Yes,Automatic,1.5,4.0,Blue,Black
12000.0,2015,117292.0,Lincoln,MKZ Base,Gasoline,None reported,Yes,Automatic,2.0,4.0,Beige,Beige
429998.0,2005,1897.0,Ford,GT,Gasoline,None reported,Unknown,Manual,5.4,6.0,White,Other
33600.0,2017,26000.0,Genesis,G90 5.0 Ultimate,Gasoline,None reported,Yes,Other,5.0,8.0,White,Beige
99950.0,2022,2071.0,Lexus,LC 500 Base,Gasoline,None reported,Unknown,Automatic,5.0,8.0,Other,Other
61900.0,2014,15629.0,Ford,Shelby GT500 Base,Gasoline,None reported,Unknown,Manual,5.8,8.0,Black,Black
18500.0,2008,15020.0,Saturn,Sky Base,Gasoline,None reported,Yes,Automatic,2.4,4.0,Silver,Red
119900.0,2022,11322.0,Audi,RS Q8 4.0T quattro,Gasoline,None reported,Unknown,Automatic,4.0,8.0,White,Black
65998.0,2016,50361.0,Toyota,Land Cruiser,Gasoline,None reported,Unknown,Automatic,5.7,6.0,Silver,Black
36000.0,2013,115000.0,Mercedes-Benz,SL-Class SL 550,Gasoline,At least 1 accident or damage reported,Yes,Other,4.6,8.0,Black,Black
63500.0,2005,28500.0,Porsche,911 Carrera C2S,Gasoline,None reported,Yes,Manual,3.8,6.0,Silver,Black
32000.0,2018,51700.0,Mercedes-Benz,AMG GLA 45 Base 4MATIC,Gasoline,None reported,Yes,Other,2.0,4.0,White,Black
3900.0,2008,148949.0,Ford,Taurus X Limited,Gasoline,None reported,Yes,Automatic,3.5,6.0,Blue,Beige
31750.0,2018,39300.0,BMW,440 Gran Coupe i,Gasoline,At least 1 accident or damage reported,Yes,Automatic,3.0,6.0,White,Beige
28500.0,2008,82323.0,Honda,S2000 CR,Gasoline,None reported,Yes,Manual,2.2,4.0,Black,Black
34998.0,2023,3574.0,Acura,Integra w/A-Spec Tech Package,Gasoline,None reported,Unknown,Other,1.5,6.0,Blue,Other
